Date,Portfolio_Daily_Return,Portfolio_Cumulative_Return,Nifty_Cumulative_Return
2023-05-12,0.0,0.0,
2023-05-15,0.004322746565230368,0.4322746565230462,0.45891205221868514
2023-05-16,-0.0003941746884455659,0.39268679595043654,-0.15452410096087332
2023-05-17,-0.004786818381921994,-0.08787476261495897,-0.726465894110151
2023-05-18,-0.0076749119544102466,-0.8546915269899036,-1.009301519071093
2023-05-19,-0.002802462429751088,-1.1325425290716007,-0.6082533572467241
2023-05-22,0.006892064452869659,-0.4511416398906176,-0.002186158778272329
2023-05-23,0.0045762333922162255,0.004417169893899953,0.18126988737976468
2023-05-24,0.0007893026935613687,0.08335092573414915,-0.1605280394592068
2023-05-25,0.002383901943483919,0.3219398205163815,0.034669278966448225
2023-05-26,0.007354652577150467,1.0597728337620627,1.0076485697509519
2023-05-29,0.005880002132922835,1.6540045135772896,1.5498372751375777
2023-05-30,-0.0003123180785781335,1.622256130207833,1.7420272922194835
2023-05-31,0.003429050665760305,1.9707239952472033,1.1990281084565124
2023-06-01,0.005328393463222959,2.514064134423588,0.9443139503164
2023-06-02,0.007891774940683546,3.3230820568272534,1.1973858233255363
2023-06-05,0.002250667723427818,3.55562798269764,1.5236246981767954
2023-06-06,0.0042538902327802835,3.996142257122659,1.551746164997625
2023-06-07,0.010058533497768835,5.042190937654656,2.247360559861411
2023-06-08,-0.0060444742978764485,4.40726611433937,1.745855736128732
2023-06-09,-0.0031647672309688085,4.076841419865662,1.357369989137469
2023-06-12,0.0036033797738518366,4.45186980516441,1.5653963271252902
2023-06-13,0.009785816275676408,5.474016612728616,2.191394895137977
2023-06-14,0.004914991936703998,5.992420553911959,2.408432472967892
2023-06-15,0.0021437536541334353,6.2196421927848355,2.0382358103898657
2023-06-16,0.00604931895264035,6.86219868744431,2.791180886189859
2023-06-19,0.0034235435345846372,7.228046076852213,2.4059690452714166
2023-06-20,0.005128176030435044,7.777930372533914,2.7403980173992704
2023-06-21,0.001059843155986047,7.8921580744055975,2.9596217540074576
2023-06-22,-0.007766798093677042,7.054181466750586,2.4922423355939305
2023-06-23,-0.008061053724174441,6.191211958549592,1.9148404775935823
2023-06-26,0.008169954567467767,7.0587893357152875,2.055159878590329
2023-06-27,0.005361947727344191,7.632832967886127,2.7442264613084966
2023-06-28,0.007126690458866904,8.39989885165917,3.5888942280929204
2023-06-30,0.005801028875404514,9.028729794988566,4.773461696045445
2023-07-03,0.0026790668978741152,9.320825055899572,5.502380353662906
2023-07-04,-0.00034998352806062767,9.28256456785601,5.86519739734066
2023-07-05,0.009517487713311065,10.322660033409715,5.917068013425797
2023-07-06,0.012264306212969329,11.675690918288751,6.456526686386899
2023-07-07,-0.003943259621025424,11.235324675640545,5.5528859535352915
2023-07-10,0.0011609284948410701,11.36446093368939,5.6844713836081695
2023-07-11,0.007435865188399246,12.19255205197105,6.1403867986722815
2023-07-12,0.005863283212240883,12.850368758955844,5.839539358216306
2023-07-13,-0.0063166034724873015,12.137537727781545,6.0003340024045615
2023-07-14,0.008800647285395317,13.12442064477648,6.823438778702928
2023-07-17,0.007140079430319199,13.93213799368902,7.625791042891583
2023-07-18,-0.004117360789035259,13.463038276102846,7.832185759937582
2023-07-19,0.0056690472935485466,14.106265606159774,8.290287333779943
2023-07-20,0.004622860304597358,14.633762931936346,9.087456802035753
2023-07-21,-0.00131033615433155,14.483554167859559,7.808980484320549
2023-07-24,0.00014000494978861163,14.499582432112446,7.4123046400526915
2023-07-25,0.010903945452874278,15.748079633329093,7.457350175074007
2023-07-26,0.0020135235271543893,15.981141114893727,7.990804909536764
2023-07-27,0.010802603436887874,17.234039388515644,7.3443310983325905
2023-07-28,0.00555331503020633,17.885076941503677,7.2687113329831465
2023-07-31,0.008246339361918476,18.85719729166919,7.8570333206856136
2023-08-01,0.0008446969525216297,18.957595604006716,7.7464670074515185
2023-08-02,-0.012206236800636665,17.505571022829834,6.6162335832806285
2023-08-03,0.005990699150981611,18.20951154739192,5.825068053523164
2023-08-04,0.006745146401549421,19.00685200883472,6.564085698277289
2023-08-07,0.003510753377891927,19.424655716517016,7.002533171493663
2023-08-08,0.0030120127297291145,19.78436429977868,6.858108057669443
2023-08-09,0.00779579106761576,20.718178177026946,7.195000457493794
2023-08-10,-0.003087428729543248,20.345469405545067,6.70659125805233
2023-08-11,-0.005823197812055868,19.644673931411873,6.0797822116633204
2023-08-14,-0.005106977589573583,19.033651262932306,6.113907616982472
2023-08-16,0.0008727120524123226,19.137533365032123,6.280162326021799
2023-08-17,-0.0035298743205035153,18.71699284539876,5.7355208571278515
2023-08-18,-0.0022446762846702268,18.450511626971334,5.434673416671876
2023-08-21,0.006960433968459148,19.27497859168108,5.890311562817763
2023-08-22,0.0021082844372410296,19.526444172798186,5.905870614805475
2023-08-23,0.004122843098045107,20.01923294818988,6.165500964149384
2023-08-24,-0.0016657404446666798,19.819312057730198,5.852634982507565
2023-08-25,-0.00825679549488055,18.829988501732252,5.1925216733648805
2023-08-28,0.008126511244201908,19.795661739439964,5.412289283620342
2023-08-29,0.002811375520370778,20.132452330300833,5.612125524331568
2023-08-30,0.0041694359701602126,20.633336898230347,5.638327437103197
2023-08-31,0.00013639345342925146,20.64979049564859,5.1270008951520785
2023-09-01,0.008734462731925576,21.703601594347475,6.11800266562077
2023-09-04,0.012475257096132402,23.221885313762236,6.628518729195543
2023-09-05,0.008404190104988744,24.257465463034222,6.880225585991906
2023-09-06,0.0029946029672659608,24.629567237814776,7.077609063195811
2023-09-07,0.002858609047082402,24.98583444625475,7.7109765859196155
2023-09-08,0.003342275302728198,25.403571513915324,8.218208079232415
2023-09-11,0.012359960241349074,26.953554671950506,9.18136565179848
2023-09-12,-0.023978275512246527,23.90942736076742,9.164164314679791
2023-09-13,0.009971686854763635,25.145013368762072,9.58350156091743
2023-09-14,0.011304283350926652,26.55968805983806,9.764227574649897
2023-09-15,0.002270381767256075,26.847026868078714,10.251538362607636
2023-09-18,-0.0038895258128152136,26.35365208279645,9.929127931665626
2023-09-20,-0.005146288415979095,25.7033997467661,8.662936759865335
2023-09-21,-0.011919793371393601,24.205041195702947,7.794509179627429
2023-09-22,-0.004912710885779367,23.59485773775214,7.422680896107581
2023-09-25,0.0007068354667186497,23.682218966705214,7.424323181238579
2023-09-26,0.0012766384688484695,23.840116445350645,7.370533011104241
2023-09-27,0.009808433094345242,25.054793941900797,7.65309136714698
2023-09-28,-0.007516315695839629,24.114842631355305,6.599853388727461
2023-09-29,0.022124856888864286,26.860865762357953,7.226395830387422
2023-10-03,-0.0023043416063101858,26.568534991169223,6.62824146027734
2023-10-04,-0.014942362039520837,24.677302118519417,6.122364318988138
2023-10-05,0.00042836588703688177,24.730709621634794,6.721062562745472
2023-10-06,0.0067110717010619575,25.567786357229917,7.3093845504479615
2023-10-09,-0.010578935724029194,24.23941281634814,6.538694263882006
2023-10-10,0.012428964952707592,25.78358012398749,7.507855774946437
2023-10-11,0.006322003078458533,26.57878430475087,8.171253654351096
2023-10-12,0.007351828960241411,27.509369876954693,8.076523662022916
2023-10-13,0.0004120964255200635,27.56191603250131,7.842018142345242
2023-10-16,0.003710756200817101,28.03526720340703,7.73663462504397
2023-10-17,0.005495847879251231,28.738929555136238,8.172074796916572
2023-10-18,-0.006741232470155232,27.871070503046134,7.405479558988914
2023-10-19,-0.003904686021129401,27.371774121546032,7.152130417061575
2023-10-20,-0.010445715961666824,26.041284747538775,6.704138494545009
2023-10-23,-0.025872498726583856,22.780281768411093,5.279605442063762
2023-10-25,-0.004315658847098704,22.250403959147967,4.4081812246712815
2023-10-26,-0.008055347740627238,21.265634443824876,2.9618079127857744
2023-10-27,0.013599310000285716,22.914763399007775,3.999220234488532
2023-10-30,0.0031684018883227603,23.30420676746392,4.510557440628804
2023-10-31,-0.0004420717206802114,23.249697464611117,4.175851199582725
2023-11-01,-0.0009451932223905536,23.133202685905886,3.6819925994793667
2023-11-02,0.012292291615563894,24.646791920879373,4.468785811680309
2023-11-03,0.008046190079108274,25.64972370142582,5.000320992093865
2023-11-06,0.010746116118719156,26.99997022260634,5.989413872702509
2023-11-07,0.007144710357134415,27.90734822521157,5.961836279528954
2023-11-08,0.013931708400735786,29.68931610299659,6.162770931723904
2023-11-09,0.0011374781435471428,29.836834865515314,5.899600071578126
2023-11-10,0.0037277666649995077,30.320836290416043,6.06366862183918
2023-11-13,0.008302960574023388,31.40288505610913,6.163048200642085
2023-11-15,0.007468208446068378,32.384229192122916,7.429228708253222
2023-11-16,0.006009302539922929,33.17976607685287,7.919269528636486
2023-11-17,0.007100322102531328,34.1253853135383,7.736911893962173
2023-11-20,0.0031191494436653847,34.54374243452043,7.530517176916174
2023-11-21,0.004153451698269719,35.102563370026665,8.018649107439412
2023-11-22,-0.002082664580560051,34.82119004655304,8.173983686776598
2023-11-23,-0.0012015970653850368,34.65918930024139,8.120204180831415
2023-11-24,0.003698040975903173,35.15716450005557,8.080341441742966
2023-11-28,0.003538192651967311,35.63537658635041,8.599047602594334
2023-11-29,0.005693761312481178,36.40765204616159,9.728737153117951
2023-11-30,0.0118238791995697,38.02051964585233,9.928306789100127
2023-12-01,0.007494477738406039,39.05491135778141,10.664050527781432
2023-12-04,0.007899264805307142,40.153342925075044,12.951273826731292
2023-12-05,0.0024687656071595634,40.499348677816904,13.870196342652385
2023-12-06,0.0023495141043656407,40.829453879189636,14.321195566512701
2023-12-07,0.005189062876920888,41.56022677029119,14.1216365947197
2023-12-08,-0.005759729967453893,40.74487808996277,14.494286020805047
2023-12-11,0.002087570448891684,41.03869293829623,14.645525551503958
2023-12-12,-0.004573227658914884,40.393690886773605,14.150301935187848
2023-12-13,0.007303904510916549,41.41911299894572,14.259225963290966
2023-12-14,0.008515210871140334,42.62332656734138,15.658911455024182
2023-12-15,0.004178534461338496,43.219283052393756,17.154702619487527
2023-12-18,0.008020788136371988,44.36801457880011,16.94722015514698
2023-12-19,0.0007146332712641972,44.47118476532448,17.135315123590566
2023-12-20,-0.030162489934744963,40.11357410897969,15.481192742635441
2023-12-21,0.015730253090193932,42.31759609108558,16.053955678350217
2023-12-22,0.013294288400296658,44.209607257957416,16.569110664210562
2023-12-26,0.008541769726611165,45.44141251551994,17.071159361590517
2023-12-27,0.00675252439778595,46.42350920197944,18.23633933364608
2023-12-28,0.00849380653804123,47.66720216176217,18.913110106260177
2023-12-29,0.0037359845807155585,48.21888455211594,18.654855437318197
2024-01-01,0.001420704476519861,48.4294597849039,18.712186118254404
2024-01-02,0.009053257271760467,49.77322987104507,18.29667731592601
