Sector,Auto,Banking,Energy,FMCG,FinServ,IT,Media,Metal,Pharma,Realty
Auto,1.0,0.7121427026545775,0.7039501327829562,0.5991161585862256,0.7623964238897702,0.5595185414265776,0.6478219729479564,0.702969779731098,0.6274025029968521,0.6967218982134501
Banking,0.7121427026545775,1.0,0.7596894743742638,0.4694571888841319,0.785800262048371,0.47643919083267305,0.6667687261980603,0.7178978960399153,0.5266002852142544,0.6958520932470982
Energy,0.7039501327829562,0.7596894743742638,1.0,0.46794806750853535,0.7361626157699039,0.4868680172590345,0.6677064101299484,0.7872459894016124,0.5610497519798839,0.6893625915383683
FMCG,0.5991161585862256,0.4694571888841319,0.46794806750853535,1.0,0.5538468440313044,0.4401302227885217,0.5088210245474467,0.46833538959843113,0.4873607533073915,0.5333226682568372
FinServ,0.7623964238897702,0.785800262048371,0.7361626157699039,0.5538468440313044,1.0,0.5633171981262777,0.6707856806968718,0.7319887548916324,0.5889736741541388,0.7488790207020223
IT,0.5595185414265776,0.47643919083267305,0.4868680172590345,0.4401302227885217,0.5633171981262777,1.0,0.529495400188028,0.5254162653243405,0.5108848203855859,0.5666731733078171
Media,0.6478219729479564,0.6667687261980603,0.6677064101299484,0.5088210245474467,0.6707856806968718,0.529495400188028,1.0,0.6657060777118528,0.5196358912733985,0.7192940928637657
Metal,0.702969779731098,0.7178978960399153,0.7872459894016124,0.46833538959843113,0.7319887548916324,0.5254162653243405,0.6657060777118528,1.0,0.5869830726265387,0.7032595936804584
Pharma,0.6274025029968521,0.5266002852142544,0.5610497519798839,0.4873607533073915,0.5889736741541388,0.5108848203855859,0.5196358912733985,0.5869830726265387,1.0,0.55695965199137
Realty,0.6967218982134501,0.6958520932470982,0.6893625915383683,0.5333226682568372,0.7488790207020223,0.5666731733078171,0.7192940928637657,0.7032595936804584,0.55695965199137,1.0
