Date,Sector,Daily_Return,Cumulative_Return,Cumulative_Return_Pct
2023-05-12,Auto,,,
2023-05-15,Auto,0.002795363293661362,0.002795363293661257,0.2795363293661257
2023-05-16,Auto,0.0015379044837317433,0.004337566779136104,0.4337566779136104
2023-05-17,Auto,0.005441671086116379,0.00980284147697863,0.980284147697863
2023-05-18,Auto,-0.009600654366238236,0.0001080734179128573,0.01080734179128573
2023-05-19,Auto,-0.002919554388354167,-0.002811796496662744,-0.2811796496662744
2023-05-22,Auto,0.005397243637544236,0.002570271190129869,0.2570271190129869
2023-05-23,Auto,0.01119782924254249,0.013796881890566493,1.3796881890566493
2023-05-24,Auto,0.0038407440755981706,0.01769061625854751,1.769061625854751
2023-05-25,Auto,0.00597518061522249,0.023771501501109293,2.3771501501109293
2023-05-26,Auto,0.004927964685045971,0.028816611306063278,2.881661130606328
2023-05-29,Auto,-0.0037758978772879123,0.024931904847314224,2.4931904847314224
2023-05-30,Auto,-0.008302925530115449,0.016421971567927685,1.6421971567927685
2023-05-31,Auto,0.0075882361325488555,0.024134821498495995,2.4134821498495995
2023-06-01,Auto,0.002484521872472408,0.02667930686286968,2.667930686286968
2023-06-02,Auto,0.004732358046360087,0.031537920941733466,3.1537920941733466
2023-06-05,Auto,0.0039250188010744,0.03558672667545104,3.558672667545104
2023-06-06,Auto,0.004144237638823409,0.03987844416640529,3.987844416640529
2023-06-07,Auto,0.0083633117258693,0.04857527175198095,4.857527175198095
2023-06-08,Auto,-0.005430414393757688,0.04288107350332071,4.288107350332071
2023-06-09,Auto,-0.002363518730260836,0.04041620455266104,4.041620455266104
2023-06-12,Auto,0.00762898486725341,0.048353524032838546,4.835352403283855
2023-06-13,Auto,0.0062283528062611615,0.054883039646202336,5.488303964620234
2023-06-14,Auto,-0.003079214581576401,0.05163482840866607,5.163482840866607
2023-06-15,Auto,-0.0027837003904825908,0.048707392126179805,4.8707392126179805
2023-06-16,Auto,0.00861139015896633,0.05773822064237044,5.773822064237044
2023-06-19,Auto,-0.0054378371423303585,0.051986412459299025,5.1986412459299025
2023-06-20,Auto,0.005641422286572995,0.057921112051718904,5.79211120517189
2023-06-21,Auto,0.007695030439301229,0.06606184721133634,6.606184721133634
2023-06-22,Auto,-0.004688351258144886,0.06106377480870284,6.106377480870284
2023-06-23,Auto,-0.010062540614927278,0.05038677747966225,5.038677747966225
2023-06-26,Auto,0.009675787761177798,0.06055009700570291,6.055009700570291
2023-06-27,Auto,0.002638788354269555,0.06334866425080099,6.334866425080099
2023-06-28,Auto,0.004480140606410856,0.0681126157802836,6.81126157802836
2023-06-30,Auto,0.020787155738831824,0.09031563907111928,9.031563907111927
2023-07-03,Auto,-0.00303599116468752,0.08700545042417862,8.700545042417861
2023-07-04,Auto,-0.006220983850565625,0.08024320707161303,8.024320707161303
2023-07-05,Auto,0.021346090791011605,0.10330217664613728,10.330217664613727
2023-07-06,Auto,0.020331885913941066,0.12573439063030922,12.573439063030921
2023-07-07,Auto,-0.0044060007079471785,0.1207744041082317,12.07744041082317
2023-07-10,Auto,0.001132488165046735,0.1220436678565715,12.20436678565715
2023-07-11,Auto,0.009452404904814428,0.13264967892603496,13.264967892603497
2023-07-12,Auto,0.005504268874937577,0.13888408729995572,13.888408729995572
2023-07-13,Auto,-0.0066463459116652785,0.13131466970246897,13.131466970246898
2023-07-14,Auto,0.008723384090752025,0.14118356209378602,14.118356209378602
2023-07-17,Auto,-0.0032151060323716532,0.1375145359392549,13.75145359392549
2023-07-18,Auto,0.00029750633753710613,0.13785295372273731,13.785295372273731
2023-07-19,Auto,-0.0019301366975557313,0.13565674198033495,13.565674198033495
2023-07-20,Auto,0.006362080363129636,0.14288188143774394,14.288188143774395
2023-07-21,Auto,0.0002832960770374513,0.1432056553912724,14.320565539127239
2023-07-24,Auto,-0.0001622910561878441,0.14302012333801906,14.302012333801905
2023-07-25,Auto,0.00894456439017599,0.15324394043048284,15.324394043048283
2023-07-26,Auto,0.008661555492973396,0.16323282681745677,16.323282681745678
2023-07-27,Auto,-0.0043209421111209895,0.15820656511102293,15.820656511102293
2023-07-28,Auto,0.0015490753611725656,0.16000071436418484,16.000071436418484
2023-07-31,Auto,0.01155226924874501,0.17340135494525644,17.340135494525644
2023-08-01,Auto,0.001073024998228959,0.17466044393206848,17.466044393206847
2023-08-02,Auto,-0.016226328314206524,0.155600017911115,15.5600017911115
2023-08-03,Auto,0.004117361918878021,0.160358041418317,16.0358041418317
2023-08-04,Auto,0.005594417984161746,0.16684956931329453,16.684956931329452
2023-08-07,Auto,-0.004949189914660084,0.1610746091929236,16.10746091929236
2023-08-08,Auto,0.0006641965488937572,0.16184579094135776,16.184579094135778
2023-08-09,Auto,0.007345588379189694,0.17038023188170714,17.038023188170715
2023-08-10,Auto,-0.005415857859361532,0.16404161890442936,16.404161890442936
2023-08-11,Auto,-0.004067366177702869,0.15930703539425894,15.930703539425895
2023-08-14,Auto,-0.004678377834997509,0.15388335905591388,15.388335905591388
2023-08-16,Auto,0.008306455652147111,0.16346804000566229,16.34680400056623
2023-08-17,Auto,0.0008016928084005707,0.16440078396613855,16.440078396613856
2023-08-18,Auto,-0.0004556649027418542,0.16387020739615998,16.387020739616
2023-08-21,Auto,0.00579156740706483,0.1706108401553692,17.06108401553692
2023-08-22,Auto,0.007897009280809534,0.1798551648242923,17.985516482429233
2023-08-23,Auto,-0.0004712228912523369,0.1792991900622647,17.92991900622647
2023-08-24,Auto,-7.694269031877088e-05,0.17920845160989063,17.920845160989064
2023-08-25,Auto,-0.00722997115500831,0.17068280851900908,17.06828085190091
2023-08-28,Auto,0.004327766265944099,0.1757492500858382,17.57492500858382
2023-08-29,Auto,0.004889768309116305,0.1814983915083752,18.149839150837522
2023-08-30,Auto,0.008427244674738,0.19145516753642577,19.14551675364258
2023-08-31,Auto,-0.0026670447802302766,0.18827750325096937,18.827750325096936
2023-09-01,Auto,0.007050199775896628,0.19665509703809247,19.66550970380925
2023-09-04,Auto,0.0027323678624337857,0.1999247989676569,19.99247989676569
2023-09-05,Auto,-0.001435160526457202,0.19820271426146152,19.820271426146153
2023-09-06,Auto,0.0014392675727535702,0.19992724857368316,19.992724857368316
2023-09-07,Auto,0.0018363693476750537,0.2021307581924039,20.213075819240387
2023-09-08,Auto,0.002314097064512065,0.20491260545109657,20.491260545109657
2023-09-11,Auto,0.008371471675344367,0.214999497198896,21.4999497198896
2023-09-12,Auto,-0.020105557933879494,0.19057125441832912,19.057125441832913
2023-09-13,Auto,-0.0008160039399918717,0.18959974358388276,18.959974358388276
2023-09-14,Auto,0.011479431299535646,0.2032556721142993,20.325567211429927
2023-09-15,Auto,0.011448304555459223,0.21703090950674753,21.703090950674753
2023-09-18,Auto,0.002106756100221294,0.21959489679950872,21.95948967995087
2023-09-20,Auto,-0.00029337178185300113,0.21923710207149583,21.923710207149583
2023-09-21,Auto,-0.014742779110985501,0.2012621587917376,20.12621587917376
2023-09-22,Auto,0.002904143841334873,0.20475079689202125,20.475079689202126
2023-09-25,Auto,0.0056178227835726275,0.21151887336732855,21.151887336732855
2023-09-26,Auto,5.110955825729821e-05,0.21158079356176684,21.158079356176685
